Sector,Industry_Group,Industry,Subindustry,ESG_Pulse_Score,ESG_Beta,SNP_ESG_Rating,SNP_Environmental_Score,SNP_Environmental_Industry_Mean,SNP_Social_Score,SNP_Social_Industry_Mean,SNP_Governance_Score,SNP_Governance_Industry_Mean,Sustainalytics_Score,MSCI_Score,SNP_Normalized_Score,Sustainalytics_Normalized_Score,MSCI_Normalized_Score,Market_Cap,Debt_to_Equity,Return_on_Equity,Average volume.1,Market cap.1
Industrials,Capital Goods_2010,Industrial_Conglomerates_201050,Industrial Conglomerates,-0.083992,0.010832,67.0,,,,,,,32.2,AAA,67.0,80.5,99.96,55762190336.0,451.166,-0.69286,5154093,55762190336.0
Consumer Discretionary,Consumer Discretionary Distribution & Retail_2550,Broadline Retail_255030,Internet & Direct Marketing Retail,-0.070006,-0.290638,,24.0,22.0,22.0,23.0,29.0,27.0,,,,,,1902430000000.0,74.107,0.20305,38309514,1902430000000.0
Financials,Financial Services_4020,Consumer Finance_402020,Consumer Finance,0.163157,0.074574,37.0,37.0,21.0,34.0,23.0,41.0,29.0,18.9,AA,37.0,47.25,85.68,164943000000.0,176.425,0.32854998,2859561,164943000000.0
Health Care,"Pharmaceutivals, Biotechnology & Life Sciences_3520",Biotechnology_352010,Biotechnology,-0.214992,-0.109027,54.0,56.0,12.0,48.0,23.0,46.0,29.0,22.0,AA,54.0,55.0,85.68,164144000000.0,1274.791,0.72574997,2441039,164144000000.0
Information Technology,Technology Hardware & Equipment_4520,"Technology Hardware, Storage & Peripherals_452020","Technology Hardware, Storage & Peripherals",-0.084335,0.191458,37.0,66.0,42.0,46.0,38.0,42.0,38.0,16.4,BBB,37.0,41.0,57.12,3285940000000.0,140.968,1.4725,65173339,3285940000000.0
Industrials,Capital Goods_2010,Machinery_201060,Construction Machinery & Heavy Trucks,-0.206988,0.302691,69.0,49.0,27.0,45.0,28.0,53.0,29.0,39.1,A,69.0,97.75,71.4,159011000000.0,214.525,0.62789,2703574,159011000000.0
Energy,Energy_1010,"Oil, Gas & Consumable Fuels_101020",Integrated Oil & Gas,0.213202,-0.001706,81.0,41.0,34.0,51.0,32.0,34.0,38.0,36.5,A,81.0,91.25,71.4,280410000000.0,13.507,0.12641,7118644,280410000000.0
Information Technology,Technology Hardware & Equipment_4520,Communications equipment_452010,Communications Equipment,-0.028133,-0.133457,78.0,80.0,29.0,55.0,27.0,63.0,29.0,12.4,AA,78.0,31.0,85.68,185204000000.0,72.57,0.27517,18687734,185204000000.0
Materials,Materials_1510,Chemicals_151010,Commodity Chemicals,0.299794,0.300857,77.0,85.0,34.0,75.0,32.0,71.0,31.0,24.1,,77.0,60.25,,38985740288.0,94.169,0.06414,4069169,38985740288.0
Financials,Financial Services_4020,Capital Markets_402030,Asset Management & Custody Banks,0.335582,,,46.0,21.0,31.0,23.0,39.0,29.0,,,,,,1742823168.0,112.209,0.13092,615693,1742823168.0
Industrials,Capital Goods_2010,Industrial_Conglomerates_201050,Industrial Conglomerates,0.292046,-0.009915,31.0,38.0,33.0,39.0,35.0,32.0,34.0,28.6,AA,31.0,71.5,85.68,138618000000.0,154.551,0.33198002,2681984,138618000000.0
Information Technology,Semiconductors & Semiconductor Equipment_4530,Semiconductors & Semiconductor Equipment_453010,Semiconductors,0.293446,0.027216,68.0,65.0,33.0,57.0,31.0,58.0,31.0,18.9,AA,68.0,47.25,85.68,130388000000.0,47.356,0.03794,48842966,130388000000.0
Information Technology,Software & Services_4510,IT Services_451020,IT Consulting & Other Services,-0.076417,0.090854,52.0,74.0,34.0,47.0,29.0,57.0,34.0,14.1,AA,52.0,35.25,85.68,156668000000.0,269.451,0.36240003,3849947,156668000000.0
Financials,Banks_4010,Banks_401010,Diversified Banks,0.001491,0.355569,34.0,35.0,26.0,25.0,30.0,30.0,35.0,26.4,A,34.0,66.0,71.4,565719000000.0,,0.15741,9186258,565719000000.0
Health Care,"Pharmaceutivals, Biotechnology & Life Sciences_3520",Pharmaceuticals_352020,Pharmaceuticals,-0.215354,0.127258,,,,,,,,24.0,A,,60.0,71.4,350533000000.0,48.032,0.24235001,7492531,350533000000.0
Consumer Discretionary,Consumer Services_2530,"Hotels, Restaurants & Leisure_253010",Restaurants,0.002282,-0.190225,21.0,45.0,18.0,24.0,20.0,30.0,24.0,24.2,BBB,21.0,60.5,57.12,180740000000.0,,,3435549,180740000000.0
Health Care,"Pharmaceutivals, Biotechnology & Life Sciences_3520",Pharmaceuticals_352020,Pharmaceuticals,0.017389,0.168517,43.0,48.0,23.0,49.0,31.0,46.0,33.0,21.5,AA,43.0,53.75,85.68,324174000000.0,84.65,0.05311,7448896,324174000000.0
Information Technology,Software& Services_4510,Software_451030,Systems Software,0.175009,0.275778,56.0,74.0,21.0,43.0,23.0,55.0,30.0,15.4,AAA,56.0,38.5,99.96,3317340000000.0,41.963,0.38487998,18736139,3317340000000.0
Consumer Discretionary,Consumer Durables & Apparel_2520,"Textiles, Apparel & Luxury Goods_252030",Footwear,-0.157293,0.012676,29.0,51.0,25.0,37.0,28.0,44.0,29.0,19.6,BBB,29.0,49.0,57.12,143057000000.0,85.091,0.36381,9643082,143057000000.0
Industrials,Capital Goods_2010,Aerospace & Defense_201010,Aerospace & Defense,-0.118066,-0.033791,51.0,50.0,28.0,51.0,28.0,26.0,33.0,39.6,BBB,51.0,99.0,57.12,107424000000.0,,,6941780,107424000000.0
Consumer Staples,"Food, Beverage & Tobacco_3020",Beverages_302010,Soft Drinks,0.135853,-0.188717,36.0,52.0,35.0,37.0,34.0,47.0,34.0,21.7,AAA,36.0,54.25,99.96,269808000000.0,156.613,0.39314997,11961680,269808000000.0
Consumer Discretionary,Consumer Discretionary Distribution & Retail_2550,Specialty Retail_255040,Home Improvement Retail,0.04764,0.104767,32.0,48.0,22.0,26.0,23.0,37.0,27.0,12.6,AA,32.0,31.5,85.68,350902000000.0,2857.473,13.6297,3583971,350902000000.0
Consumer Staples,Household & Personal Products_3030,Household Products_303010,Household Products,0.026732,-0.198595,49.0,55.0,40.0,37.0,34.0,41.0,35.0,26.4,A,49.0,66.0,71.4,397825000000.0,63.541,0.31794,6053150,397825000000.0
Financials,Insurance_4030,Insurance_403010,Property & Casualty Insurance,-0.002835,0.005125,26.0,25.0,26.0,25.0,30.0,36.0,37.0,18.8,A,26.0,47.0,71.4,47747325952.0,32.1,0.13059,1226506,47747325952.0
Communication Services,Media & Entertainment_5020,Entertainment_502020,Movies & Entertainment,-0.000332,-0.175888,41.0,51.0,21.0,42.0,20.0,47.0,27.0,14.7,A,41.0,36.75,71.4,185039000000.0,44.62,0.02716,10424326,185039000000.0
Health Care,Health Care Equipment & Services_3510,Health Care Providers & Services_351020,Managed Health Care,-0.129419,-0.044058,79.0,65.0,25.0,69.0,25.0,57.0,29.0,15.3,AA,79.0,38.25,85.68,442751000000.0,75.979,0.17222,4069036,442751000000.0
Communication Services,Telecommunication Services_5010,Diversified Telecommunication Services_501010,Integrated Telecommunication Services,-0.198278,-0.100391,35.0,33.0,38.0,33.0,38.0,42.0,39.0,18.2,AA,35.0,45.5,85.68,168707000000.0,188.845,0.124239996,17178734,168707000000.0
Information Technology,Commercial & Professional Services_2020,Professional Services_202020,Data Processing & Outsourced Services,0.057654,0.341786,65.0,83.0,21.0,66.0,23.0,54.0,29.0,17.4,A,65.0,43.5,71.4,559854000000.0,50.89,0.46528,7017122,559854000000.0
Consumer Staples,Consumer Staples Distribution & Retail_3010,Consumer Staples Distribution & Retail_301010,Hypermarkets & Super Centers,-0.015995,-0.062202,51.0,74.0,28.0,35.0,28.0,56.0,28.0,25.3,BBB,51.0,63.25,57.12,543743000000.0,75.363,0.23464,15491082,543743000000.0
Information Technology,Software& Services_4510,Software_451030,Application Software,0.330489,0.175511,54.0,80.0,21.0,45.0,23.0,63.0,30.0,12.8,AA,54.0,32.0,85.68,224624000000.0,22.439,0.093430005,7486361,224624000000.0
